Climate Bonds Initiative - Region, country : 2019 Green | 2019 | Amount Issued | Global

Country,USD
"CHINA",31711655620
"UAE",4744999872
"BARBADOS",1500000
"UKRAINE",358458752
"FRANCE",31317031709
"ECUADOR",150000000
"NORWAY",3942647728
"SWEDEN",10494926640
"THAILAND",738590992
"JAPAN",7215958395
"BRAZIL",1638993393
"ICELAND",98334286
"SAUDI ARABIA",1101590016
"AUSTRALIA",3441388761
"GREECE",832345504
"SWITZERLAND",2328755040
"PHILIPPINES",1498397000
"INDIA",3144832824
"PANAMA",42000000
"NIGERIA",106757570
"SOUTH KOREA",3266800616
"SPAIN",6260442162
"DENMARK",5603042256
"COSTA RICA",3500000
"MEXICO",128984992
"INDONESIA",853531752
"MALAYSIA",554050102
"CANADA",7561430564
"SINGAPORE",4769189308
"IRELAND",2775540032
"SOUTH AFRICA",750776518
"UK",2161144884
"USA",55155866050
"POLAND",2470226784
"KENYA",40500000
"BELGIUM",2686830512
"TURKEY",100000000
"FINLAND",3025883824
"LITHUANIA",22324000
"VIETNAM",200000000
"PORTUGAL",1923706584
"COLOMBIA",41317120
"CHILE",2496541856
"GERMANY",18719211640
"SUPRANATIONAL",13127834893
"AUSTRIA",944746648
"NETHERLANDS",16073548552
"RUSSIA",561850008
"HONG KONG",2550260860
"ITALY",5996535694
"LUXEMBOURG",1720551328
"TAIWAN",717980992
"PERU",652084236
"NEW ZEALAND",300167368
