Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ABW,Aruba,0.259123333,0.28372731,0.311032992,0.278271479,0.281836186,0.295495121,0.195167926,0.278504912,0.273456611,0.285117305,0.284292542,0.280362552,0.28851704,0.369697548,0.35787183,0.36993601,0.355542044,0.352821598,0.325951013,0.397399706,0.394735608,0.363039739,0.468715389,0.432302757,0.439750471,0.422637496,0.406351541,0.321007302,0.32473437,0.341387594,0.3625434,0.345604683
CO2,AFG,Afghanistan,0.095004747,0.101842556,0.061179267,0.078182533,0.096175717,0.056922466,0.058904833,0.061363796,0.064785458,0.06596345,0.057726591,0.05630269,0.036637485,0.036510166,0.032253757,0.039868836,0.042300118,0.051697172,0.098884,0.133468942,0.141573125,0.207789613,0.158299738,0.124223969,0.114260096,0.117480498,0.104910126,0.109022155,0.120462262,0.102889127,0.106682959,0.108820226
CO2,AGO,Angola,0.165579526,0.171976691,0.187961689,0.247614502,0.231431594,0.226841113,0.241661076,0.235663621,0.233800229,0.242110699,0.215248312,0.202578061,0.175402113,0.18532206,0.170532859,0.132942328,0.124836314,0.1128477,0.114774546,0.12442401,0.127847187,0.128351073,0.119848904,0.131360822,0.136966358,0.145446866,0.140584432,0.119868822,0.111792729,0.118560675,0.114215061,0.120279818
CO2,AIA,Anguilla,0.024680956,0.039791666,0.031376971,0.038098064,0.048945208,0.060946604,0.062494926,0.052570904,0.041937442,0.03647135,0.050718093,0.052435065,0.040235823,0.04416926,0.037246688,0.03127561,0.027683519,0.022593134,0.027723008,0.051150812,0.062891218,0.068222725,0.073785147,0.092105227,0.096759509,0.11221412,0.125609323,0.14855479,0.187721953,0.122208121,0.10773125,0.120165705
CO2,AIR,International Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,ALB,Albania,0.419371667,0.38849172,0.228264017,0.195860196,0.189777084,0.148155371,0.135122942,0.117564676,0.129702349,0.183880537,0.179843791,0.176663707,0.196130949,0.195258981,0.193987928,0.174016348,0.162786127,0.157624587,0.145112032,0.143549122,0.147442685,0.156174233,0.140465014,0.146277421,0.153386405,0.143669308,0.130669419,0.145705424,0.139238659,0.129298628,0.125143802,0.112456469
CO2,ANT,Curaçao,0.94046455,0.952593256,0.976411668,0.791876313,0.865939311,0.841784674,0.822598998,1.548295368,1.53853604,1.460972043,1.480520834,1.500764842,1.430499538,1.430620568,1.490768317,1.561249427,1.512379583,1.603312045,1.552981566,1.463764213,1.083446494,1.380070548,1.246621557,1.147737399,1.303708973,1.313077047,1.13464302,0.91857933,0.746326026,0.593438685,0.602704786,0.669930394
CO2,ARE,United Arab Emirates,0.279220443,0.314926802,0.294373724,0.306513904,0.315709633,0.315655069,0.311819266,0.300373081,0.307251221,0.307872158,0.275574259,0.311118806,0.310549134,0.300042045,0.289455846,0.29391645,0.277971746,0.290495226,0.337060597,0.358115156,0.366545263,0.351351155,0.354640878,0.354917069,0.342754939,0.343710486,0.341403702,0.327409973,0.291358386,0.298796425,0.302429557,0.302139359
CO2,ARG,Argentina,0.218180215,0.210533937,0.199360791,0.190676884,0.186174482,0.195142745,0.202022109,0.193370621,0.195558755,0.205917301,0.203034311,0.203847258,0.215216462,0.219540728,0.223181554,0.210025969,0.205883074,0.199621963,0.197967674,0.193735357,0.188603756,0.186809991,0.19052468,0.192236208,0.195002786,0.193174828,0.195266616,0.186906447,0.189734187,0.184719852,0.192348677,0.1918403
CO2,ARM,Armenia,1.129504492,1.332332087,1.168397237,0.603035918,0.318536204,0.373899926,0.261153245,0.324228436,0.313667077,0.272686053,0.294810467,0.273899445,0.207471969,0.203242692,0.197607881,0.205539276,0.18311099,0.186156932,0.190638904,0.178382521,0.167305631,0.182257593,0.195996851,0.179640016,0.17312696,0.163474541,0.155459107,0.152871517,0.153776259,0.15497244,0.170522915,0.171269285
